Id,Zipcode,Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone
8600000US21904,21904,ZCTA5 21904,7775,7144,403,14,26,0,2
8600000US21911,21911,ZCTA5 21911,11129,10734,157,26,49,0,0
8600000US21912,21912,ZCTA5 21912,1406,1387,0,0,0,0,0
8600000US21913,21913,ZCTA5 21913,675,493,155,0,0,0,27
8600000US21914,21914,ZCTA5 21914,497,497,0,0,0,0,0
8600000US21915,21915,ZCTA5 21915,2598,2456,120,4,0,0,0
8600000US21916,21916,ZCTA5 21916,36,34,2,0,0,0,0
8600000US21917,21917,ZCTA5 21917,2985,2822,51,17,22,0,14
8600000US21918,21918,ZCTA5 21918,4021,3891,32,0,68,0,0
8600000US21919,21919,ZCTA5 21919,3479,3340,2,43,0,0,0
8600000US21920,21920,ZCTA5 21920,231,231,0,0,0,0,0
8600000US21921,21921,ZCTA5 21921,42316,36505,3823,50,736,0,474
8600000US21930,21930,ZCTA5 21930,127,127,0,0,0,0,0
